time_msec,throughput,current_buffer,current_playing_segment
29533,303.026,0,5
29661,363,0,5
29790,360.186,0,5
29906,500.69,0,5
30021,407.579,0,5
30123,569.412,0,5
30236,414.857,0,5
30348,414.857,0,5
30461,414.857,0,5
30574,411.186,0,5
30686,418.595,0,5
30799,411.186,0,5
30912,414.857,0,5
31016,563.883,0,5
31119,455.529,0,5
31223,446.769,0,5
31326,455.529,0,5
31431,446.769,0,5
31532,345.03,0,5
31642,426.275,0,5
31745,455.529,0,5
31851,442.514,0,5
31972,576,0,5
32095,571.279,0,5
32214,488.067,0,5
32334,488.067,0,5
32452,492.203,0,5
32571,492.203,0,5
32691,484,0,5
32810,488.067,0,5
32929,488.067,0,5
33048,488.067,0,5
33168,488.067,0,5
33278,639.413,0,5
33389,528,0,5
33499,528,0,5
33612,414.857,0,5
33729,500.69,0,5
33848,488.067,0,5
33957,537.778,0,5
34074,496.41,0,5
34184,745.982,0,5
34295,528,0,5
34400,663.771,0,5
34504,563.883,0,5
34606,569.412,0,5
34709,569.412,0,5
34814,558.462,0,5
34915,580.8,0,5
35018,563.883,0,5
35121,569.412,0,5
35225,563.883,0,5
35329,558.462,0,5
35432,569.412,0,5
35537,558.462,0,5
35654,595.692,0,5
35757,569.412,0,5
35875,590.644,0,5
35993,590.644,0,5
36108,815.158,0,5
36224,606.052,0,5
36340,606.052,0,5
36456,600.828,0,5
36573,600.828,0,5
36683,739.2,0,5
36792,645.333,0,5
36902,633.6,0,5
37011,645.333,0,5
37120,639.413,0,5
37229,645.333,0,5
37338,645.333,0,5
37452,616.779,0,5
37567,509.474,0,5
37679,622.286,0,5
37789,639.413,0,5
37896,767.094,0,5
38003,651.364,0,5
38117,917.053,0,5
38223,663.771,0,5
38324,696.96,0,5
38427,676.66,0,5
38531,670.154,0,5
38633,683.294,0,5
38737,676.66,0,5
38840,676.66,0,5
38957,801.103,0,5
39069,726,0,5
39252,185.793,1.901,6
39369,694.974,1.781,6
39476,651.364,1.671,6
39578,805.069,1.571,6
39686,542.804,1.46,6
39802,707.061,1.351,6
39911,639.413,1.24,6
40020,745.982,1.13,6
40125,1116.92,1.031,6
40232,759.925,0.921,6
40340,752.889,0.811,6
40449,752.889,0.701,6
40556,759.925,0.591,6
